,Rank,Name,Symbol,Main_link,Historical_link,Coin_id,ATH,ATL,Circulating_Supply,Total_Supply,Max_Supply,Fully_Diluted_Mcap,Dominance%
49,50,Render,Render,https://coinmarketcap.com/currencies/render/,https://coinmarketcap.com/currencies/render/historical-data/,render,13.6,0.03676,517.71M RENDER,"532,476,763 RENDER","644,168,762 RENDER",2460969047,0.0696
50,51,Cosmos,Cosmos,https://coinmarketcap.com/currencies/cosmos/,https://coinmarketcap.com/currencies/cosmos/historical-data/,cosmos,44.7,1.131,390.93M ATOM,"390,934,204 ATOM",--,1924601775,0.0677
51,52,Arbitrum,Arbitrum,https://coinmarketcap.com/currencies/arbitrum/,https://coinmarketcap.com/currencies/arbitrum/historical-data/,arbitrum,2.3975,0.3,4.61B ARB,"10,000,000,000 ARB",--,3889867440,0.0632
52,53,Algorand,Algorand,https://coinmarketcap.com/currencies/algorand/,https://coinmarketcap.com/currencies/algorand/historical-data/,algorand,3.2802,0.08761,8.52B ALGO,"10,000,000,000 ALGO","10,000,000,000 ALGO",2033065583,0.0609
53,54,Sonic (prev. FTM),Sonic (prev. FTM),https://coinmarketcap.com/currencies/sonic/,https://coinmarketcap.com/currencies/sonic/historical-data/,sonic,1.0293,0.3336,2.88B S,"3,175,000,000 S",--,1863839932,0.0595
54,55,Story,Story,https://coinmarketcap.com/currencies/story-protocol/,https://coinmarketcap.com/currencies/story-protocol/historical-data/,story-protocol,7.327,1.0,258.36M IP,"1,001,409,352 IP",--,6341212261,0.0575
55,56,Jupiter,Jupiter,https://coinmarketcap.com/currencies/jupiter-ag/,https://coinmarketcap.com/currencies/jupiter-ag/historical-data/,jupiter-ag,2.0433,0.4533,2.69B JUP,"6,999,978,151 JUP","10,000,000,000 JUP",5602218787,0.053
56,57,Optimism,Optimism,https://coinmarketcap.com/currencies/optimism-ethereum/,https://coinmarketcap.com/currencies/optimism-ethereum/historical-data/,optimism-ethereum,4.8515,0.4005,1.62B OP,"4,294,967,296 OP","4,294,967,296 OP",3879622925,0.0515
57,58,DeXe,DeXe,https://coinmarketcap.com/currencies/dexe/,https://coinmarketcap.com/currencies/dexe/historical-data/,dexe,33.54,0.6535,83.73M DEXE,"96,504,599 DEXE",--,1670155636,0.051
58,59,KuCoin Token,KuCoin Token,https://coinmarketcap.com/currencies/kucoin-token/,https://coinmarketcap.com/currencies/kucoin-token/historical-data/,kucoin-token,28.8,0.3365,122.56M KCS,"142,561,754 KCS","200,000,000 KCS",2268151190,0.0489
59,60,Artificial Superintelligence Alliance,Artificial Superintelligence Alliance,https://coinmarketcap.com/currencies/artificial-superintelligence-alliance/,https://coinmarketcap.com/currencies/artificial-superintelligence-alliance/historical-data/,artificial-superintelligence-alliance,3.4743,0.00827,2.38B FET,"2,714,493,897 FET","2,719,493,897 FET",1508144549,0.0466
60,61,XDC Network,XDC Network,https://coinmarketcap.com/currencies/xdc-network/,https://coinmarketcap.com/currencies/xdc-network/historical-data/,xdc-network,0.1938,0.0001571,15.69B XDC,"37,980,697,338 XDC",--,2809748196,0.0408
61,62,Immutable,Immutable,https://coinmarketcap.com/currencies/immutable-x/,https://coinmarketcap.com/currencies/immutable-x/historical-data/,immutable-x,9.4974,0.0,1.79B IMX,"2,000,000,000 IMX","2,000,000,000 IMX",1273967381,0.0402
62,63,Movement,Movement,https://coinmarketcap.com/currencies/movement/,https://coinmarketcap.com/currencies/movement/historical-data/,movement,1.449,0.3735,2.45B MOVE,"10,000,000,000 MOVE","10,000,000,000 MOVE",4524701088,0.039
63,64,Worldcoin,Worldcoin,https://coinmarketcap.com/currencies/worldcoin-org/,https://coinmarketcap.com/currencies/worldcoin-org/historical-data/,worldcoin-org,11.82,0.7058,1.19B WLD,"10,000,000,000 WLD",--,9154699728,0.0384
64,65,Maker,Maker,https://coinmarketcap.com/currencies/maker/,https://coinmarketcap.com/currencies/maker/historical-data/,maker,6339.02,21.06,848.07K MKR,"874,319 MKR","1,000,000 MKR",1272218444,0.038
65,66,Bonk,Bonk,https://coinmarketcap.com/currencies/bonk1/,https://coinmarketcap.com/currencies/bonk1/historical-data/,bonk1,5.915e-05,0.079197,77.97T BONK,"88,851,202,006,668 BONK","88,872,433,754,423.19 BONK",1220050685,0.0376
66,67,Stacks,Stacks,https://coinmarketcap.com/currencies/stacks/,https://coinmarketcap.com/currencies/stacks/historical-data/,stacks,3.8406,0.045,1.51B STX,"1,518,451,174 STX","1,818,000,000 STX",1253067577,0.0368
67,68,Injective,Injective,https://coinmarketcap.com/currencies/injective/,https://coinmarketcap.com/currencies/injective/historical-data/,injective,52.75,0.6556,99.97M INJ,"100,000,000 INJ",--,1047338274,0.0368
68,69,The Graph,The Graph,https://coinmarketcap.com/currencies/the-graph/,https://coinmarketcap.com/currencies/the-graph/historical-data/,the-graph,2.8751,0.0,9.77B GRT,"10,800,262,823 GRT",--,1102558350,0.0351
69,70,Sei,Sei,https://coinmarketcap.com/currencies/sei/,https://coinmarketcap.com/currencies/sei/historical-data/,sei,1.1417,0.007989,4.88B SEI,"10,000,000,000 SEI",--,2030523257,0.0349
70,71,Theta Network,Theta Network,https://coinmarketcap.com/currencies/theta-network/,https://coinmarketcap.com/currencies/theta-network/historical-data/,theta-network,15.9,0.03977,1B THETA,"1,000,000,000 THETA","1,000,000,000 THETA",970774732,0.0341
71,72,Four,Four,https://coinmarketcap.com/currencies/binaryx-new/,https://coinmarketcap.com/currencies/binaryx-new/historical-data/,binaryx-new,2.6205,0.143,381.86M FORM,"572,301,922 FORM","580,000,000 FORM",1468521425,0.034
72,73,Lido DAO,Lido DAO,https://coinmarketcap.com/currencies/lido-dao/,https://coinmarketcap.com/currencies/lido-dao/historical-data/,lido-dao,18.62,0.406,897.87M LDO,"1,000,000,000 LDO",--,1059403494,0.0334
73,74,Quant,Quant,https://coinmarketcap.com/currencies/quant/,https://coinmarketcap.com/currencies/quant/historical-data/,quant,428.38,0.1636,12.07M QNT,"14,881,364 QNT","14,881,364 QNT",1166876983,0.0333
74,75,EOS,EOS,https://coinmarketcap.com/currencies/eos/,https://coinmarketcap.com/currencies/eos/historical-data/,eos,22.89,0.4014,1.55B EOS,"2,100,000,000 EOS","2,100,000,000 EOS",1219360963,0.0317
75,76,Flare,Flare,https://coinmarketcap.com/currencies/flare/,https://coinmarketcap.com/currencies/flare/historical-data/,flare,0.0797,0.008263,61.08B FLR,"103,197,948,778 FLR",--,1515623268,0.0315
76,77,Berachain,Berachain,https://coinmarketcap.com/currencies/berachain/,https://coinmarketcap.com/currencies/berachain/historical-data/,berachain,14.99,1.0,107.48M BERA,"500,000,000 BERA",--,3795134396,0.0287
77,78,Gala,Gala,https://coinmarketcap.com/currencies/gala/,https://coinmarketcap.com/currencies/gala/historical-data/,gala,0.8366,0.000151,43.67B GALA,"43,677,327,738 GALA","50,000,000,000 GALA",908771112,0.0279
78,79,PayPal USD,PayPal USD,https://coinmarketcap.com/currencies/paypal-usd/,https://coinmarketcap.com/currencies/paypal-usd/historical-data/,paypal-usd,1.0581,0.9742,782.7M PYUSD,"782,708,699 PYUSD",--,782672744,0.0275
79,80,PancakeSwap,PancakeSwap,https://coinmarketcap.com/currencies/pancakeswap/,https://coinmarketcap.com/currencies/pancakeswap/historical-data/,pancakeswap,44.18,0.0002317,292.82M CAKE,"371,860,330 CAKE","450,000,000 CAKE",1195211814,0.0273
80,81,The Sandbox,The Sandbox,https://coinmarketcap.com/currencies/the-sandbox/,https://coinmarketcap.com/currencies/the-sandbox/historical-data/,the-sandbox,8.4421,0.02893,2.48B SAND,"3,000,000,000 SAND",--,903101420,0.0263
81,82,Tether Gold,Tether Gold,https://coinmarketcap.com/currencies/tether-gold/,https://coinmarketcap.com/currencies/tether-gold/historical-data/,tether-gold,3059.94,1408.88,246.52K XAUt,"246,524 XAUt",--,746283255,0.0262
82,83,Tezos,Tezos,https://coinmarketcap.com/currencies/tezos/,https://coinmarketcap.com/currencies/tezos/historical-data/,tezos,9.1754,0.3146,1.03B XTZ,"1,056,487,479 XTZ",--,760212123,0.0262
83,84,Nexo,Nexo,https://coinmarketcap.com/currencies/nexo/,https://coinmarketcap.com/currencies/nexo/historical-data/,nexo,4.6252,0.04333,646.14M NEXO,"1,000,000,000 NEXO",--,1142941616,0.026
84,85,Jito,Jito,https://coinmarketcap.com/currencies/jito/,https://coinmarketcap.com/currencies/jito/historical-data/,jito,5.6083,0.5362,308.56M JTO,"999,999,759 JTO",--,2264336036,0.0246
85,86,IOTA,IOTA,https://coinmarketcap.com/currencies/iota/,https://coinmarketcap.com/currencies/iota/historical-data/,iota,5.69,0.07961,3.68B IOTA,"3,688,810,566 IOTA",--,695011942,0.0244
86,87,Bitcoin SV,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,https://coinmarketcap.com/currencies/bitcoin-sv/historical-data/,bitcoin-sv,491.64,23.3,19.84M BSV,"19,842,381 BSV",--,692908673,0.0244
87,88,BitTorrent [New],BitTorrent [New],https://coinmarketcap.com/currencies/bittorrent-new/,https://coinmarketcap.com/currencies/bittorrent-new/historical-data/,bittorrent-new,0.053054,0.063656,986.06T BTT,"990,000,000,000,000 BTT",--,691850199,0.0242
88,89,Flow,Flow,https://coinmarketcap.com/currencies/flow/,https://coinmarketcap.com/currencies/flow/historical-data/,flow,46.16,0.3577,1.57B FLOW,"1,571,065,878 FLOW",--,670388578,0.0236
89,90,PAX Gold,PAX Gold,https://coinmarketcap.com/currencies/pax-gold/,https://coinmarketcap.com/currencies/pax-gold/historical-data/,pax-gold,3487.68,1387.98,214.77K PAXG,"214,779 PAXG",--,649861667,0.0229
90,91,FLOKI,FLOKI,https://coinmarketcap.com/currencies/floki-inu/,https://coinmarketcap.com/currencies/floki-inu/historical-data/,floki-inu,0.0003462,0.072,9.62T FLOKI,"9,662,285,506,617 FLOKI",--,651838348,0.0228
91,92,Curve DAO Token,Curve DAO Token,https://coinmarketcap.com/currencies/curve-dao-token/,https://coinmarketcap.com/currencies/curve-dao-token/historical-data/,curve-dao-token,60.5,0.181,1.3B CRV,"2,241,064,851 CRV","3,030,303,030.3 CRV",1502146872,0.0228
92,93,Kaia,Kaia,https://coinmarketcap.com/currencies/kaia/,https://coinmarketcap.com/currencies/kaia/historical-data/,kaia,0.415,0.09581,5.97B KAIA,"5,976,370,687 KAIA",--,644283223,0.0227
93,94,Ethereum Name Service,Ethereum Name Service,https://coinmarketcap.com/currencies/ethereum-name-service/,https://coinmarketcap.com/currencies/ethereum-name-service/historical-data/,ethereum-name-service,85.69,6.6952,35.6M ENS,"100,000,000 ENS",--,1763571478,0.0221
94,95,JasmyCoin,JasmyCoin,https://coinmarketcap.com/currencies/jasmy/,https://coinmarketcap.com/currencies/jasmy/historical-data/,jasmy,4.9943,0.002747,49.44B JASMY,"50,000,000,000 JASMY","50,000,000,000 JASMY",628347168,0.0219
95,96,Pyth Network,Pyth Network,https://coinmarketcap.com/currencies/pyth-network/,https://coinmarketcap.com/currencies/pyth-network/historical-data/,pyth-network,1.1501,0.1288,3.62B PYTH,"9,999,987,834 PYTH","10,000,000,000 PYTH",1680219298,0.0214
96,97,Helium,Helium,https://coinmarketcap.com/currencies/helium/,https://coinmarketcap.com/currencies/helium/historical-data/,helium,55.22,0.2533,179.76M HNT,"179,760,926 HNT","223,000,000 HNT",738810943,0.0209
97,98,Neo,Neo,https://coinmarketcap.com/currencies/neo/,https://coinmarketcap.com/currencies/neo/historical-data/,neo,196.85,0.07228,70.53M NEO,"100,000,000 NEO",--,799931901,0.0198
98,99,Axie Infinity,Axie Infinity,https://coinmarketcap.com/currencies/axie-infinity/,https://coinmarketcap.com/currencies/axie-infinity/historical-data/,axie-infinity,165.37,0.1234,159.81M AXS,"270,000,000 AXS",--,942448343,0.0196
99,100,dYdX,dYdX,https://coinmarketcap.com/currencies/dydx-chain/,https://coinmarketcap.com/currencies/dydx-chain/historical-data/,dydx-chain,4.5285,0.5059,761.78M DYDX,"773,782,706 DYDX",--,562142635,0.0195
